Generated: 2026-08-20T07:28:51
Model: tensorflow/lite/micro/examples/anomaly_detection/anomaly_detection_int8.tflite
Machine: RiscvMinorCPU, 1 GHz, peak BW 12.8 GB/s, idealized peak compute 128.0 GFLOP/s, ridge point 10.0 FLOP/byte
Empirical compute-roof ceiling: 3.723 GFLOP/s (patterns/microbenchmark/int8dot_ceiling.c)
Empirical fc_bottleneck warm-cache ceiling: 3.365 GFLOP/s (patterns/microbenchmark/fc_bottleneck.c, FC_VARIANT=4 FC_CACHE_MODE=0 -- same op, shape, and single-pass count as the cold-cache ceiling below, differing only in whether operands were evicted from L1 first)
Empirical cold-cache ceiling: 1.278 GFLOP/s (patterns/microbenchmark/fc_bottleneck.c, FC_VARIANT=4 FC_CACHE_MODE=1 -- the achievable ceiling for this project's actual single-shot Invoke() workload, see doc/dtln/performance_dtln.md's "Second correction")
Input CRC32: scalar=0x9F759053 vector=0x9F759053
Output CRC32: scalar=0xC6F70B6E vector=0xC6F70B6E

### Arithmetic intensity

| op | call | MACs | FLOPs | weight bytes | AI (FLOP/byte) |
|---|---|---|---|---|---|
| `FULLY_CONNECTED` | 1 | 81,920 | 163,840 | 81,920 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 2 | 16,384 | 32,768 | 16,384 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 3 | 16,384 | 32,768 | 16,384 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 4 | 16,384 | 32,768 | 16,384 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 5 | 1,024 | 2,048 | 1,024 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 6 | 1,024 | 2,048 | 1,024 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 7 | 16,384 | 32,768 | 16,384 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 8 | 16,384 | 32,768 | 16,384 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 9 | 16,384 | 32,768 | 16,384 | 2.00 (memory-bound) |
| `FULLY_CONNECTED` | 10 | 81,920 | 163,840 | 81,920 | 2.00 (memory-bound) |

### Achieved performance vs. the roofline (gem5, cycle-accurate)

| op | call | variant | cycles | T (µs) | P (MFLOP/s) | efficiency vs. 3.723 GFLOP/s (warm) | efficiency vs. 3.365 GFLOP/s (fc warm) | efficiency vs. 1.278 GFLOP/s (cold) | cycles/weight-byte |
|---|---|---|---|---|---|---|---|---|---|
| `FULLY_CONNECTED` | 1 | scalar | 833,929 | 833.93 | 196.47 | 5.28% | 5.84% | 15.37% | 10.18 |
| `FULLY_CONNECTED` | 1 | vectorized | 125,153 | 125.15 | 1309.12 | 35.16% | 38.90% | 102.43% | 1.53 |
| `FULLY_CONNECTED` | 2 | scalar | 173,027 | 173.03 | 189.38 | 5.09% | 5.63% | 14.82% | 10.56 |
| `FULLY_CONNECTED` | 2 | vectorized | 31,186 | 31.19 | 1050.73 | 28.22% | 31.23% | 82.22% | 1.90 |
| `FULLY_CONNECTED` | 3 | scalar | 174,974 | 174.97 | 187.27 | 5.03% | 5.57% | 14.65% | 10.68 |
| `FULLY_CONNECTED` | 3 | vectorized | 29,640 | 29.64 | 1105.53 | 29.69% | 32.85% | 86.50% | 1.81 |
| `FULLY_CONNECTED` | 4 | scalar | 175,397 | 175.40 | 186.82 | 5.02% | 5.55% | 14.62% | 10.71 |
| `FULLY_CONNECTED` | 4 | vectorized | 23,429 | 23.43 | 1398.61 | 37.57% | 41.56% | 109.44% | 1.43 |
| `FULLY_CONNECTED` | 5 | scalar | 12,187 | 12.19 | 168.05 | 4.51% | 4.99% | 13.15% | 11.90 |
| `FULLY_CONNECTED` | 5 | vectorized | 2,936 | 2.94 | 697.55 | 18.74% | 20.73% | 54.58% | 2.87 |
| `FULLY_CONNECTED` | 6 | scalar | 21,007 | 21.01 | 97.49 | 2.62% | 2.90% | 7.63% | 20.51 |
| `FULLY_CONNECTED` | 6 | vectorized | 13,239 | 13.24 | 154.69 | 4.16% | 4.60% | 12.10% | 12.93 |
| `FULLY_CONNECTED` | 7 | scalar | 174,596 | 174.60 | 187.68 | 5.04% | 5.58% | 14.69% | 10.66 |
| `FULLY_CONNECTED` | 7 | vectorized | 29,950 | 29.95 | 1094.09 | 29.39% | 32.51% | 85.61% | 1.83 |
| `FULLY_CONNECTED` | 8 | scalar | 174,340 | 174.34 | 187.95 | 5.05% | 5.59% | 14.71% | 10.64 |
| `FULLY_CONNECTED` | 8 | vectorized | 23,157 | 23.16 | 1415.04 | 38.01% | 42.05% | 110.72% | 1.41 |
| `FULLY_CONNECTED` | 9 | scalar | 174,732 | 174.73 | 187.53 | 5.04% | 5.57% | 14.67% | 10.66 |
| `FULLY_CONNECTED` | 9 | vectorized | 29,709 | 29.71 | 1102.97 | 29.63% | 32.78% | 86.30% | 1.81 |
| `FULLY_CONNECTED` | 10 | scalar | 856,051 | 856.05 | 191.39 | 5.14% | 5.69% | 14.98% | 10.45 |
| `FULLY_CONNECTED` | 10 | vectorized | 140,108 | 140.11 | 1169.38 | 31.41% | 34.75% | 91.50% | 1.71 |
